avg_cadence,avg_heart_rate,avg_power,avg_speed,enhanced_avg_speed,enhanced_max_speed,ftp,id,intensity_factor,max_cadence,max_heart_rate,max_power,max_speed,normalized_power,threshold_power,timestamp,total_ascent,total_calories,total_cycles,total_descent,total_distance,total_elapsed_time,total_fat_calories,total_timer_time,training_stress_score
74,,,8.442,8.442,14.813,207,4917647,,101,,,14.813,,,2016-09-25 15:38:26,511,1839.0,6650,543.0,48286.77,5733.578,0.0,5719.583,
84,,182,10.022,10.022,14.575,202,4917647,0.922,113,,452,14.575,184,200,2016-02-13 16:28:40,0,1087.0,8411,0.0,60101.42,5999.859,,5996.862,140.8
81,,187,10.111,10.111,12.82,194,4917647,0.95,111,,345,12.82,190,200,2016-01-07 07:59:09,1,737.0,5390,1.0,40056.46,3961.585,,3961.585,98.6
92,,,8.301,8.301,11.189,189,4917647,,102,,,11.189,,,2015-02-09 19:32:10,8,999.0,5503,2.0,29955.75,3609.9,0.0,3608.901,
78,,,7.062,7.062,16.26,189,4917647,,171,,,16.26,,,2015-01-11 12:38:51,520,2328.0,10744,504.0,65607.81,10958.175,0.0,9290.241,
82,,,7.588,7.588,10.215,193,4917647,,105,,,10.215,,,2015-12-06 17:42:08,0,899.0,4901,8.0,27362.58,3605.999,0.0,3605.999,
,,,6.041,6.041,15.144,202,4917647,,,,,15.144,,,2016-08-10 11:01:45,637,1850.0,,606.0,51692.52,9902.881,,8556.941,
75,,,7.627,7.627,16.844,242,4917647,,103,,,16.844,,,2016-12-29 12:57:37,541,1869.0,7742,548.0,51353.64,9194.471,0.0,6732.986,
83,138,159,9.388,9.388,13.044,202,4917647,0.448,105,167,356,13.044,179,400,2016-07-26 11:36:50,0,617.0,5421,0.0,36538.71,3894.187,,3892.189,21.6
32,,,0.759,0.759,1.928,324,4917647,,38,,,1.928,,,2017-09-17 06:56:52,0,404.0,1543,0.0,2135.72,2812.583,,2812.583,
,,,8.113,8.113,15.517,324,4917647,,,,,15.517,,,2017-07-02 09:53:24,1011,3618.0,,1021.0,97125.52,12572.699,,11972.021,
,,,8.544,8.544,15.975,324,4917647,,,,,15.975,,,2017-04-08 15:24:10,788,4788.0,,800.0,132887.92,17160.122,0.0,15554.14,
72,,,7.738,7.738,16.178,202,4917647,,183,,,16.178,,,2016-05-08 08:32:16,571,2364.0,9859,572.0,67613.77,9452.003,0.0,8737.924,
77,,,11.192,11.192,16.291,189,4917647,,110,,,16.291,,,2014-02-03 08:19:34,20,1043.0,3681,5.0,32179.1,3124.275,0.0,2875.1,
69,,,6.133,6.133,14.18,189,4917647,,228,,,14.18,,,2014-10-06 09:26:32,446,1224.0,5169,412.0,33900.29,7164.523,0.0,5527.543,
76,,,18.059,18.059,38.146,202,4917647,,98,,,38.146,,,2016-02-03 12:38:44,666,3279.0,5144,669.0,158230.56,11560.672,0.0,8761.907,
70,,,6.94,6.94,14.413,189,4917647,,173,,,14.413,,,2014-08-25 06:45:43,588,1848.0,7441,600.0,49736.04,7193.32,0.0,7166.323,
74,,,7.398,7.398,16.487,189,4917647,,114,,,16.487,,,2014-07-13 17:55:19,570,1842.0,7566,560.0,48325.54,6548.302,0.0,6532.304,
83,,,8.257,8.257,14.779,324,4917647,,108,,,14.779,,,2017-04-22 10:55:05,422,1908.0,8322,440.0,52682.28,6480.423,0.0,6380.403,
69,,,7.229,7.229,16.266,189,4917647,,114,,,16.266,,,2014-06-28 11:17:39,568,1819.0,7075,572.0,48159.87,6683.699,0.0,6662.239,
